ESCO,ISCO08
132431628,1324
513121,5131
2310117,2310
12135,1213
121954,1219
52237,5223
44191,4419
73211,7321
211316,2113
211415,2114
214915,2149
81601,8160
3105,3100
43238,4323
22509,2250
75312,7531
2310131,2310
3423122,3423
334312,3343
264341,2643
23421,2342
213146,2131
514112,5141
5249215,5249
43231,4323
711311,7113
83507,8350
5223715,5223
263122,2631
26542,2654
33313,3331
2330116,2330
26351,2635
26412,2641
72134,7213
61212,6121
211311,2113
1420426,1420
1420429,1420
33421,3342
31192,3119
21441,2144
54121,5412
83323,8332
21111,2111
32111,3211
214217,2142
251421,2514
24342,2434
81213,8121
312319,3123
12137,1213
33412,3341
2431102,2431
515313,5153
214925,2149
3324422,3324
215111,2151
34221,3422
51112,5111
75221,7522
35131,3513
2320111,2320
82193,8219
13464,1346
13123,1312
2144117,2144
21336,2133
72335,7233
82199,8219
2310133,2310
81512,8151
235914,2359
2411112,2411
23532,2353
71111,7111
34352,3435
31197,3119
81833,8183
3435253,3435
83123,8312
23512,2351
332449,3324
75226,7522
2144114,2144
75411,7541
34222,3422
33393,3339
264143,2641
516411,5164
341248,3412
72312,7231
41201,4120
2310141,2310
61122,6112
723312,7233
81312,8131
2330113,2330
13243235,1324
73221,7322
42216,4221
312243,3122
11115,1111
22503,2250
814114,8141
72234,7223
31211,3121
43112,4311
81811,8181
11127,1112
14394,1439
13243223,1324
334316,3343
134411,1344
74123,7412
24231,2423
815232,8152
722315,7223
81137,8113
33443,3344
24221211,2422
263512,2635
81602,8160
7411111,7411
51424,5142
7411112,7411
34114,3411
73174,7317
33121,3312
81723,8172
241118,2411
72339,7233
72131,7213
53292,5329
23301,2330
226982,2269
33511,3351
263311,2633
251975,2519
73143,7314
83426,8342
1420434,1420
75162,7516
71251,7125
2262121,2262
13304,1330
21466,2146
231016,2310
2422123,2422
95101,9510
265431,2654
24211,2421
5249212,5249
34331,3433
142042,1420
2310115,2310
14311,1431
215212,2152
722321,7223
33113,3311
3123126,3123
26222,2622
24226,2422
81123,8112
52303,5230
213148,2131
21418,2141
223022,2230
73221,7322
741212,7412
73131,7313
132431629,1324
333121,3331
75431,7543
265925,2659
432317,4323
1223213,1223
325211,3252
33312125,3331
51641,5164
81132,8113
235214,2352
31222,3122
31121,3112
13243166,1324
311211,3112
33513,3351
342246,3422
311835,3118
21469,2146
816019,8160
722344,7223
42131,4213
3114110,3114
132431,1324
211414,2114
41321,4132
13243234,1324
522375,5223
13212,1321
24225,2422
33312118,3331
31522,3152
1321214,1321
73151,7315
13492,1349
81605,8160
35132,3513
12132,1213
32581,3258
3324420,3324
1321223,1321
235912,2359
21453,2145
82123,8212
43234,4323
311613,3116
265232,2652
241211,2412
51642111,5164
81433,8143
92124,9212
1324329,1324
24223,2422
92122,9212
3324415,3324
1420421,1420
34132,3413
231014,2310
34311,3431
74122,7412
333222,3332
3412413,3412
261911,2619
31115,3111
722311,7223
32593,3259
81122,8112
3123121,3123
243111,2431
335321,3353
81609,8160
731317,7313
32575,3257
132431631,1324
82195,8219
342312,3423
816038,8160
12195,1219
214141,2141
21634,2163
81813,8181
422311,4223
23101,2310
754372,7543
32595,3259
21313,2131
2320120,2320
213141,2131
21315,2131
1420412,1420
26216,2621
72143,7214
83411,8341
21669,2166
753434,7534
91121,9112
21331,2133
75142,7514
5223725,5223
263533,2635
511122,5111
24212,2421
213311,2133
312315,3123
2635315,2635
42112,4211
2635321,2635
33413,3341
14392,1439
23599,2359
51611,5161
2320122,2320
72333,7233
2422129,2422
265413,2654
3324429,3324
75113,7511
11203,1120
33594,3359
41101,4110
122212,1222
8141192,8141
263211,2632
12216,1221
31514,3151
11114,1111
72151,7215
24235,2423
731612,7316
31122,3112
26364,2636
51522,5152
72121,7212
21633,2163
313138,3131
81521,8152
13499,1349
81215,8121
213142,2131
32541,3254
815623,8156
816012,8160
814214,8142
23593,2359
342311,3423
54131,5413
24344,2434
25144,2514
33417,3341
3324430,3324
42242,4224
43232,4323
13243231,1324
1420435,1420
251112,2511
931215,9312
313312,3133
3122412,3122
71261,7126
83227,8322
75227,7522
81596,8159
332447,3324
214924,2149
122132,1221
75141,7514
352112,3521
42127,4212
53293,5329
214917,2149
51645,5164
741312,7413
81604,8160
25191,2519
816031,8160
2642116,2642
81726,8172
42211,4221
33591,3359
21512,2151
81322,8132
34352,3435
821231,8212
81438,8143
522377,5223
341181,3411
3123110,3123
22111,2211
5223731,5223
11111,1111
816035,8160
31313,3131
51423,5142
24316,2431
71264,7126
21205,2120
24128,2412
81713,8171
22631,2263
2642114,2642
23556,2355
73185,7318
1324316,1324
33312129,3331
73122,7312
816043,8160
91124,9112
251973,2519
75332,7533
81434,8143
52235,5223
72231,7223
2320118,2320
81822,8182
2635316,2635
122311,1223
11206,1120
73132,7313
132431614,1324
11117,1111
12232,1223
82191,8219
1324311,1324
712611,7126
34321,3432
313131,3131
71321,7132
311918,3119
515221,5152
43235,4323
75437,7543
22301,2230
13461,1346
26213,2621
3112110,3112
21461,2146
26431,2643
263539,2635
741114,7411
74216,7421
71267,7126
1420425,1420
75321,7532
22698,2269
514212,5142
35211,3521
81217,8121
26193,2619
82114,8211
1106,1100
25192,2519
23423,2342
21496,2149
32142,3214
265926,2659
25294,2529
731314,7313
22672,2267
14312,1431
34118,3411
511231,5112
81425,8142
5223712,5223
92151,9215
343211,3432
31111,3111
25298,2529
342245,3422
2149121,2149
261912,2619
75233,7523
722324,7223
215113,2151
216313,2163
73228,7322
24229,2422
21664,2166
81311,8131
311921,3119
42271,4227
1324341,1324
821153,8211
13246,1324
22633,2263
3324433,3324
226993,2269
2411111,2411
816029,8160
53112,5311
2310129,2310
3412411,3412
2511141,2511
931214,9312
352117,3521
1420423,1420
53123,5312
71271,7127
42217,4221
2144122,2144
12213212,1221
81138,8113
343517,3435
12131,1213
214313,2143
24125,2412
72123,7212
2133151,2133
31345,3134
13303,1330
215216,2152
242217,2422
32132,3213
26198,2619
32597,3259
21468,2146
214515,2145
33212,3321
265111,2651
3119164,3119
22621,2262
3123120,3123
2144119,2144
541114,5411
511313,5113
813111,8131
75333,7533
91221,9122
816026,8160
313132,3131
51643,5164
226981,2269
34351,3435
81531,8153
72323,7232
134915,1349
32573,3257
7223441,7223
815512,8155
1324328,1324
26341,2634
21311,2131
3122410,3122
81603,8160
26521,2652
2310135,2310
14201,1420
75232,7523
541414,5414
75115,7511
333432,3334
821911,8219
44122,4412
31132,3113
1420432,1420
34356,3435
2152110,2152
21113,2111
96297,9629
73232,7323
2152112,2152
54191,5419
31326,3132
73223,7322
3324426,3324
132431617,1324
22662,2266
3324434,3324
26518,2651
62219,6221
816028,8160
61222,6122
315321,3153
21461,2146
93333,9333
33312119,3331
223023,2230
3115120,3115
233013,2330
21339,2133
1324821,1324
233011,2330
5223722,5223
133011,1330
214417,2144
342244,3422
25299,2529
341249,3412
1420428,1420
252211,2522
75132,7513
31531,3153
121951,1219
83111,8311
23201,2320
813121,8131
42241,4224
24221,2422
31191,3119
3115117,3115
13243,1324
3123124,3123
14313,1431
215219,2152
5223737,5223
232014,2320
22695,2269
75435,7543
514113,5141
211419,2114
731261,7312
13302,1330
24322,2432
312245,3122
516512,5165
134923,1349
72242,7224
214923,2149
83503,8350
82116,8211
3331218,3331
263513,2635
816032,8160
26562,2656
3115119,3115
541415,5414
22505,2250
241115,2411
33321,3332
31182,3118
311114,3111
51649,5164
81429,8142
816047,8160
13243224,1324
343524,3435
43127,4312
24334,2433
232013,2320
263534,2635
51634,5163
214111,2141
7543104,7543
21132,2113
81225,8122
81725,8172
25125,2512
31391,3139
21143,2114
81136,8113
2104,2100
21511,2151
81143,8114
34234,3423
5223714,5223
13243164,1324
34325,3432
312313,3123
31111,3111
93211,9321
816025,8160
532111,5321
143122,1431
3435252,3435
142041,1420
26196,2619
83224,8322
81543,8154
72331,7233
3123111,3123
81719,8171
54111,5411
34323,3432
2310127,2310
82117,8211
81426,8142
342321,3423
818131,8181
43232,4323
13243211,1324
75331,7533
33312134,3331
2411110,2411
214516,2145
72237,7223
343511,3435
233017,2330
71269,7126
24341,2434
21335,2133
731312,7313
3119162,3119
3311241,3311
315325,3153
265416,2654
22651,2265
311111,3111
21412,2141
311219,3112
72142,7214
2310139,2310
12193,1219
813123,8131
73163,7316
61126,6112
3115112,3115
13307,1330
311913,3119
74121,7412
73181,7318
81421,8142
814211,8142
1420433,1420
214419,2144
333122,3331
264215,2642
23422,2342
242213,2422
332442,3324
13243226,1324
215217,2152
21611,2161
25211,2521
72154,7215
33442,3344
13495,1349
264144,2641
26594,2659
33434,3343
74125,7412
814111,8141
233012,2330
722325,7223
22212,2221
81145,8114
214413,2144
83221,8322
24131,2413
34124,3412
81135,8113
25212,2521
226212,2262
5249214,5249
21419,2141
33125,3312
61133,6113
331125,3311
33343,3334
814119,8141
2152113,2152
343412,3434
26217,2621
753611,7536
81714,8171
81313,8131
5223727,5223
13244,1324
83431,8343
54195,5419
81144,8114
24324,2432
2635325,2635
2320123,2320
51201,5120
72325,7232
816051,8160
3331211,3331
232011,2320
21415,2141
31184,3118
12133,1213
2310137,2310
93335,9333
75322,7532
32143,3214
34117,3411
422411,4224
74124,7412
215211,2152
32524,3252
91231,9123
75342,7534
34121,3412
211411,2114
332445,3324
33512,3351
241262,2412
14398,1439
81831,8183
81523,8152
72212,7221
753625,7536
214414,2144
11201,1120
21643,2164
2320114,2320
13465,1346
74128,7412
32551,3255
121221,1212
73175,7317
2149111,2149
343516,3435
332411,3324
26519,2651
12194,1219
21662,2166
83326,8332
31221,3122
314122,3141
723311,7233
31128,3112
81892,8189
75343,7534
214512,2145
